My label,Average,St.dev,95% CI,mu - CI,mu + CI
H1,7.1315654000000075,0.08247192553433776,0.005111662903082806,7.1264537370969245,7.1366770629030905
H2,5.980659600000001,0.04536700555506203,0.0028118761362399456,5.977847723863761,5.983471476136241
H3,5.790715800000002,0.12080986124043397,0.007487872776441856,5.78322792722356,5.798203672776443
H4,3.933474900000005,0.34236352130551334,0.021219910895587717,3.9122549891044174,3.954694810895593
H5,3.915574200000002,0.3302895293641135,0.020471557121875015,3.895102642878127,3.9360457571218768
H6,8.820670899999994,0.3112336518264361,0.0192904615955619,8.801380438404433,8.839961361595556
H7,6.366825399999998,0.9063937940347476,0.05617886938535029,6.3106465306146475,6.423004269385348
H8,7.991795700000004,0.07980111571638329,0.00494612439553404,7.98684957560447,7.996741824395539
H9,4.004491,0.8735456704244587,0.05414292159091348,3.9503480784090863,4.058633921590913
H10,3.9688596999999963,0.6675140500040895,0.04137294945625843,3.927486750543738,4.010232649456254
H11,4.836661000000003,0.05843804157998198,0.0036220273424904105,4.833038972657513,4.840283027342493
C1,142.50927690000006,0.8265927242288905,0.05123274783538015,142.4580441521647,142.56050964783543
C2,108.47116730000008,0.46306488615473707,0.02870105899603256,108.44246624100404,108.49986835899611
C3,106.19114039999987,1.7228157325657947,0.1067812253921169,106.08435917460775,106.29792162539198
C4,152.81144240000012,1.4004393228195002,0.0868001285054794,152.72464227149464,152.8982425285056
C5,36.13843850000003,1.1875901879530135,0.07360760244766004,36.06483089755237,36.21204610244769
C6,149.79124559999985,0.7323068669813692,0.04538884985852438,149.74585675014134,149.83663444985837
C7,111.93977690000001,2.550839035863156,0.1581026414367919,111.78167425856321,112.09787954143681
C8,142.98957689999983,1.4352443787394173,0.08895736822109011,142.90061953177874,143.07853426822092
C9,131.54004099999995,0.9181575789257196,0.05690799632688134,131.48313300367306,131.59694899632683
C10,133.00068700000008,1.6468246890022344,0.10207125171521189,132.89861574828487,133.1027582517153
C11,103.48461199999996,0.72318236790816,0.04482330754676743,103.43978869245319,103.52943530754672
C12,168.9894067,0.33214317764416884,0.020586447432573256,168.9688202525674,169.00999314743257
